source,target,weight
1,47,1.0
1,832,7.0
2,679,3.0
3,424,5.0
3,1688,14137.0
4,685,8.0
6,47,8.0
7,679,413.0
8,1217,2.0
8,1729,2.0
9,91,2.0
11,679,416.0
11,1494,2.0
12,227,8.0
12,505,11.0
12,509,1.0
13,505,96.0
15,47,41.0
16,844,1.0
17,227,6.0
19,679,17.0
20,70,480.0
20,88,8.0
20,464,8.0
20,1131,2.0
20,1262,12.0
20,1652,1.0
20,1739,2.0
21,679,9.0
22,679,37.0
23,679,1.0
24,679,32.0
27,505,6.0
27,1416,1.0
29,78,95.0
29,114,37483.0
29,117,47.0
29,134,16.0
29,169,40.0
29,173,51.0
29,206,33.0
29,296,23.0
29,300,22.0
29,311,1341.0
29,317,61654.0
29,381,30.0
29,391,151.0
29,403,15.0
29,432,107.0
29,435,44923.0
29,489,57.0
29,526,7989.0
29,534,10.0
29,576,10.0
29,609,2.0
29,610,22.0
29,619,153.0
29,691,12.0
29,709,28955.0
29,716,383.0
29,727,2.0
29,731,99.0
29,760,89.0
29,766,142.0
29,880,75.0
29,899,50.0
29,902,1214.0
29,918,22.0
29,978,30.0
29,982,71890.0
29,989,9.0
29,994,22.0
29,1022,79.0
29,1029,1.0
29,1066,47.0
29,1101,8842.0
29,1109,146.0
29,1200,72466.0
29,1246,1457.0
29,1252,46468.0
29,1258,20089.0
29,1264,2.0
29,1270,13.0
29,1313,2.0
29,1359,32.0
29,1374,39.0
29,1391,151.0
29,1435,3413.0
29,1460,1.0
29,1463,1.0
29,1504,2.0
29,1517,2.0
29,1628,37.0
29,1664,506.0
29,1700,2.0
29,1837,2321.0
30,391,71272.0
30,478,87.0
30,485,721.0
30,590,41.0
30,719,993.0
30,978,98.0
30,1461,49.0
30,1470,134.0
30,1482,3.0
30,1664,200.0
31,185,7.0
31,505,9.0
31,600,9.0
31,712,32.0
31,1165,47.0
31,1207,68.0
31,1217,1500.0
31,1349,63.0
31,1446,247.0
31,1729,70.0
31,1742,41.0
32,75,117.0
32,76,374.0
32,82,109.0
32,114,135930.0
32,123,14551.0
32,145,114.0
32,158,2.0
32,169,614.0
32,176,6.0
32,206,3377.0
32,211,679.0
32,215,939.0
32,216,50.0
32,239,66.0
32,240,2453.0
32,246,67548.0
32,311,218.0
32,317,554.0
